model,weighting,split_first_period,n_cells,mean_crps
boosted,unweighted,200801,45,5.328390177777778
boosted,unweighted,200804,45,22.061730488888887
boosted,unweighted,200807,45,16.35894002222222
boosted,unweighted,200810,45,19.14382071111111
boosted,unweighted,200901,48,5.984568229166666
boosted,unweighted,200904,48,18.330375604166665
boosted,unweighted,200907,47,50.13745461702128
boosted,unweighted,200910,48,29.632843500000003
climatology,unweighted,200801,45,5.359555555555555
climatology,unweighted,200804,45,26.23410315555556
climatology,unweighted,200807,45,33.693777777777775
climatology,unweighted,200810,45,21.7052214
climatology,unweighted,200901,48,5.830577854166666
climatology,unweighted,200904,48,20.965904208333335
climatology,unweighted,200907,47,51.11837406382978
climatology,unweighted,200910,48,29.698516229166668
hier_nb,unweighted,200801,45,6.060121311111112
hier_nb,unweighted,200804,45,25.5411228
hier_nb,unweighted,200807,45,24.818992466666668
hier_nb,unweighted,200810,45,20.8807774
hier_nb,unweighted,200901,48,6.787155833333333
hier_nb,unweighted,200904,48,22.421362833333333
hier_nb,unweighted,200907,47,50.13541931914894
hier_nb,unweighted,200910,48,32.39607029166667
persistence,unweighted,200801,45,6.611819177777777
persistence,unweighted,200804,45,20.304079
persistence,unweighted,200807,45,33.16028768888889
persistence,unweighted,200810,45,19.002294022222223
persistence,unweighted,200901,48,16.822697104166668
persistence,unweighted,200904,48,19.039242229166668
persistence,unweighted,200907,47,45.428911
persistence,unweighted,200910,48,37.81606260416667
reference,unweighted,200801,45,4.939504894444444
reference,unweighted,200804,45,20.388777144444443
reference,unweighted,200807,45,21.460318305555553
reference,unweighted,200810,45,17.44311423888889
reference,unweighted,200901,48,5.813018223958333
reference,unweighted,200904,48,24.792066739583333
reference,unweighted,200907,47,56.931118063829786
reference,unweighted,200910,48,24.23520553125
reference_r1,unweighted,200801,45,4.8655627555555565
reference_r1,unweighted,200804,45,19.4510934
reference_r1,unweighted,200807,45,21.49272168888889
reference_r1,unweighted,200810,45,17.76656248888889
reference_r1,unweighted,200901,48,5.823688541666667
reference_r1,unweighted,200904,48,24.621205937499997
reference_r1,unweighted,200907,47,56.64945742553191
reference_r1,unweighted,200910,48,23.886669208333334
reference_r2,unweighted,200801,45,4.871065155555556
reference_r2,unweighted,200804,45,22.502225666666668
reference_r2,unweighted,200807,45,21.361220155555554
reference_r2,unweighted,200810,45,17.8963574
reference_r2,unweighted,200901,48,5.8409493333333335
reference_r2,unweighted,200904,48,24.58965310416667
reference_r2,unweighted,200907,47,56.376048851063835
reference_r2,unweighted,200910,48,24.045181583333335
reference_r3,unweighted,200801,45,5.127525577777778
reference_r3,unweighted,200804,45,20.327954244444445
reference_r3,unweighted,200807,45,21.547081866666662
reference_r3,unweighted,200810,45,16.3771518
reference_r3,unweighted,200901,48,5.897235604166667
reference_r3,unweighted,200904,48,25.31292554166667
reference_r3,unweighted,200907,47,58.973491617021274
reference_r3,unweighted,200910,48,24.64267389583333
reference_r4,unweighted,200801,45,4.893866088888889
reference_r4,unweighted,200804,45,19.273835266666666
reference_r4,unweighted,200807,45,21.440249511111105
reference_r4,unweighted,200810,45,17.732385266666665
reference_r4,unweighted,200901,48,5.690199416666666
reference_r4,unweighted,200904,48,24.644482375
reference_r4,unweighted,200907,47,55.72547436170212
reference_r4,unweighted,200910,48,24.3662974375
