model,location,time_period,horizon_distance,crps,abs_error,in_10_90,in_25_75,observed,split_first_period,n_samples
climatology,LA-AT,200801,1,4.0,4.0,0.0,0.0,4.0,200801,1000
climatology,LA-AT,200802,2,1.1875,2.0,1.0,0.0,2.0,200801,1000
climatology,LA-AT,200803,3,0.0,0.0,1.0,1.0,0.0,200801,1000
climatology,LA-AT,200804,1,0.125,0.0,1.0,1.0,0.0,200804,1000
climatology,LA-AT,200805,2,3.5625,4.0,0.0,0.0,4.0,200804,1000
climatology,LA-AT,200806,3,7.375,10.0,0.0,0.0,10.0,200804,1000
climatology,LA-AT,200807,1,2.875,5.0,1.0,0.0,6.0,200807,1000
climatology,LA-AT,200808,2,8.25,9.0,0.0,0.0,11.0,200807,1000
climatology,LA-AT,200809,3,10.8125,18.0,1.0,0.0,24.0,200807,1000
climatology,LA-AT,200810,1,35.9375,47.0,1.0,1.0,47.0,200810,1000
climatology,LA-AT,200811,2,43.0,43.0,0.0,0.0,43.0,200810,1000
climatology,LA-AT,200812,3,22.125,23.0,0.0,0.0,23.0,200810,1000
climatology,LA-AT,200901,1,16.56,18.0,0.0,0.0,18.0,200901,1000
climatology,LA-AT,200902,2,44.36,46.0,0.0,0.0,46.0,200901,1000
climatology,LA-AT,200903,3,77.0,77.0,0.0,0.0,77.0,200901,1000
climatology,LA-AT,200904,1,98.28,99.0,0.0,0.0,99.0,200904,1000
climatology,LA-AT,200905,2,0.28,0.0,1.0,1.0,0.0,200904,1000
climatology,LA-AT,200906,3,18.72,24.0,0.0,0.0,24.0,200904,1000
climatology,LA-AT,200907,1,59.84,63.0,0.0,0.0,64.0,200907,1000
climatology,LA-AT,200908,2,15.28,19.0,0.0,0.0,21.0,200907,1000
climatology,LA-AT,200909,3,5.52,5.0,1.0,1.0,17.0,200907,1000
climatology,LA-AT,200910,1,14.4,4.0,1.0,1.0,4.0,200910,1000
climatology,LA-AT,200911,2,11.32,16.0,1.0,0.0,16.0,200910,1000
climatology,LA-AT,200912,3,3.96,6.0,1.0,0.0,6.0,200910,1000
climatology,LA-BK,200801,1,0.5625,1.0,1.0,0.0,1.0,200801,1000
climatology,LA-BK,200802,2,0.0625,0.0,1.0,1.0,0.0,200801,1000
climatology,LA-BK,200803,3,0.0625,0.0,1.0,1.0,0.0,200801,1000
climatology,LA-BK,200804,1,0.0625,0.0,1.0,1.0,0.0,200804,1000
climatology,LA-BK,200805,2,11.5625,12.0,0.0,0.0,12.0,200804,1000
climatology,LA-BK,200806,3,52.125,53.0,0.0,0.0,53.0,200804,1000
climatology,LA-BK,200807,1,1.125,1.5,1.0,1.0,2.0,200807,1000
climatology,LA-BK,200808,2,7.25,9.0,0.0,0.0,9.0,200807,1000
climatology,LA-BK,200809,3,31.8125,32.5,0.0,0.0,33.0,200807,1000
climatology,LA-BK,200810,1,45.0,46.5,0.0,0.0,48.0,200810,1000
climatology,LA-BK,200811,2,55.0,55.0,0.0,0.0,55.0,200810,1000
climatology,LA-BK,200812,3,5.0,5.0,0.0,0.0,5.0,200810,1000
climatology,LA-BK,200901,1,0.36,1.0,1.0,1.0,1.0,200901,1000
climatology,LA-BK,200902,2,0.04,0.0,1.0,1.0,0.0,200901,1000
